Bank	Prg.	Name		
3	96	Modded Farfisa	
3	97	PanoBass	
3	98	Camembert  FB	
3	99	AccuBass  FB	
3	100	YellowTool  FB	
3	101	SubOscils	
3	102	Hornet's Nest	
3	103	Touch Me	
3	104	Gravelly	
3	105	Peavish	
3	106	HighRes	
3	107	Catwalk	
3	108	Catwalk	
3	109	MultiKick	
3	110	Alimbic	
3	111	Jupiter Storm	
3	112	Arc-Welding	
3	113	Neutrinos	
3	114	Chopper FB	
3	115	Ear-Piercing	
3	116	Bosons	
3	117	Cauldron   FB	
3	118	Pressure Valve	
3	119	Noise30%GainFB	
3	120	Power Supply	
3	121	Geiger Counter	
3	122	Sleepin Droid	
3	123	Ellipse	
3	124	Richochet	
3	125	E=Mc2	
3	126	VeloPercussion	
3	127	Filter Test	
3	128	New Test	
